,listing_url,last_scraped,source,name,description,neighborhood_overview,picture_url,host_url,host_name,host_since,host_location,host_about,host_response_time,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,price,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,id,scrape_id,host_id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
753,https://www.airbnb.com/rooms/4682669,01/04/2023,city scrape,Rural house,"Rural house (Only Adults) with sustainability certificate, with private parking, garden with barbecue and spaces for relaxation. Outdoor salt water swimming pool. Equipped Bikeroom and maps with information. Spacious kitchen, very well equipped with fireplace/BBQ, oven, dishwasher, American refrigerator, coffee makers, and a large table. Two rooms with softwos and fireplace, a pool and board games. With seven rooms, equipped with sheets. All rooms with private bathroom, towels and amenities.<br /><br /><b>The space</b><br />Sta located in the heart of the Natural Park of the MontgrÃ­. Overlooking Cap of Begur and within walking distance of medieval villages and the sea. <br /> Ideal for groups of friends, families, who want to relax and fun. We are in full nature and we have more and 15 hiking trails and bike.<br /><br /><b>Guest access</b><br />We have barbecue in the garden, area of picnic, park with swings, sandbank, toboggan... and farm animals. <br /> We rent bicycles under request",sin informacion,https://a0.muscache.com/pictures/miso/Hosting-4682669/original/7e9f561c-d39f-482c-a2b1-6c820ac29193.jpeg,https://www.airbnb.com/users/show/24213114,Laura,27/11/2014,"Girona, Spain",sin informacion,within a few hours,f,https://a0.muscache.com/im/pictures/user/af0aa9ea-f8f2-454c-a2ad-e1ac60ca84ff.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/af0aa9ea-f8f2-454c-a2ad-e1ac60ca84ff.jpg?aki_policy=profile_x_medium,sin informacion,"['email', 'phone', 'work_email']",t,t,sin informacion,Torroella de MontgrÃ­,Entire home,Entire home/apt,8.0,"[""Beach essentials"", ""Board games"", ""Free parking on premises"", ""Sound system"", ""Private backyard – Not fully fenced"", ""Refrigerator"", ""Valley view"", ""Shampoo"", ""Microwave"", ""Lockbox"", ""Body soap"", ""Bidet"", ""Pool table"", ""Garden view"", ""Mountain view"", ""First aid kit"", ""Hangers"", ""Window AC unit"", ""Blender"", ""Stove"", ""Room-darkening shades"", ""Dishes and silverware"", ""Bed linens"", ""Heating"", ""Shower gel"", ""Toaster"", ""Cooking basics"", ""Record player"", ""Public or shared beach access"", ""Laundromat nearby"", ""Outdoor furniture"", ""Ceiling fan"", ""BBQ grill: charcoal, wood-burning"", ""Private patio or balcony"", ""Indoor fireplace: wood-burning"", ""Bathtub"", ""Trash compactor"", ""Cleaning products"", ""Books and reading material"", ""Private pool"", ""Ocean view"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Kitchen"", ""Freezer"", ""Paid washer – In unit"", ""Dishwasher"", ""Wine glasses"", ""Barbecue utensils"", ""Dining table"", ""Self check-in"", ""Outdoor dining area"", ""Hot water kettle"", ""Clothing storage: closet"", ""Bikes"", ""Essentials"", ""TV with standard cable"", ""Wifi"", ""Fire extinguisher"", ""Coffee maker: drip coffee maker, espresso machine, Nespresso""]",12986.0,t,01/04/2023,28/12/2015,26/12/2022,PG-000878,f,4682669.0,20230300000000.0,24213114,97.8,100.0,2.0,2.0,42.053955,3.162875,5.0,2.2,3.7,2.0,1125,1.0,2.0,30.0,30.0,1.7,30.0,8,8,16,180,4.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,0.0,0.0,0.05
1840,https://www.airbnb.com/rooms/11716662,01/04/2023,city scrape,Apto no disponible. Gestiona do baja de airbnb,"Piso espacioso de 80 m2; a 10 minutos andando de la playa<br /><br />Con tres habitaciones, cocina completa com lavadora, lavaplatos, nespresso, terraza <br /><br />Zona comÃºn con piscina olimpica, pistas de tenis, solarium",sin informacion,https://a0.muscache.com/pictures/82db67c2-60c7-481b-98ba-c68eef11dfba.jpg,https://www.airbnb.com/users/show/10222076,Nuria,24/11/2013,"Barcelona, Spain","Controller financiera en multinacional.

Me encanta viajar, y la playa",a few days or more,f,https://a0.muscache.com/im/pictures/user/e1f11d51-134b-4993-a7c5-8e33f013fb61.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e1f11d51-134b-4993-a7c5-8e33f013fb61.jpg?aki_policy=profile_x_medium,sin informacion,"['email', 'phone']",t,t,sin informacion,Palafrugell,Entire condo,Entire home/apt,1.5,"[""Changing table"", ""Fireplace guards"", ""Pack ’n play/Travel crib"", ""Refrigerator"", ""Shampoo"", ""Baking sheet"", ""Microwave"", ""Safe"", ""First aid kit"", ""Hangers"", ""Children’s books and toys"", ""Stove"", ""Dishes and silverware"", ""Bed linens"", ""Heating"", ""Toaster"", ""Cooking basics"", ""Public or shared beach access"", ""TV"", ""Washer"", ""Bathtub"", ""High chair"", ""Drying rack for clothing"", ""Cleaning products"", ""Hot water"", ""Indoor fireplace"", ""Oven"", ""Crib"", ""Hair dryer"", ""Kitchen"", ""Iron"", ""Freezer"", ""Dishwasher"", ""Wine glasses"", ""Extra pillows and blankets"", ""Pool"", ""Coffee maker"", ""Patio or balcony"", ""Clothing storage: closet"", ""Essentials"", ""Wifi""]",14500.0,t,01/04/2023,14/07/2016,28/08/2022,sin informacion,f,11716662.0,20230300000000.0,10222076,97.8,95.9,1.0,1.0,41.89213,3.1846,4.0,3.0,3.0,4.0,35,4.0,4.0,35.0,35.0,4.0,35.0,29,59,89,165,18.0,2.0,0.0,4.61,4.5,4.67,4.94,4.94,4.76,4.65,1.0,1.0,0.0,0.0,0.22
3371,https://www.airbnb.com/rooms/17726281,31/03/2023,city scrape,Casa de Madera en el Bosque. 6 plazas.,"Nuestra acogedora casa es ideal para parejas, amigos, familias y aventureros, con o sin hijos, con o sin animales, que deseen un entorno tranquilo, rural y poco turÃ­stico. Rico en senderismo y rutas, o simplemente para relajarse y descansar... en ambos casos, para desconectar ;)<br />Es interesante que sepÃ¡is que hay un pequeÃ±o supermercado que tiene todo lo necesario y mÃ¡s a 5 minutos en coche desde la casa, en el pueblo de St.Esteve de LlÃ©mena. Y tambiÃ©n tienen abierto los domingos!: El Super Anna.<br /><br /><b>The space</b><br />La casa como su nombre indica es una pequeÃ±a casa de madera con encanto, ideal para pasar unos dÃ­as de vacaciones y/o descanso, y disfrutar de intimidad, paz y tranquilidad. La madera, hecho distintivo, le otorga la calidez de este material y una especial acogida a quien la disfruta. Se encuentra en una propiedad de una hectÃ¡rea de terreno en el pequeÃ±o vecindario de Can Perot de Granollers de Rocacorba, en el Valle del LlÃ©mena, donde el GironÃ¨s se encuentr","El municipio de Sant MartÃ­ de LlÃ©mena estÃ¡ constituido por cuatro nÃºcleos de poblaciÃ³n histÃ³ricos.<br />En la vertiente norte se localiza el nÃºcleo de Granollers de Rocacorba, al pie de la montaÃ±a del mismo nombre. En la parte central del valle y siguiendo la riera de LlÃ©mena se encuentra Sant MartÃ­ de LlÃ©mena, al este LlorÃ  y finalmente, en la vertiente sur del municipio, el diseminado de las Serres. Entre LlorÃ  y Sant MartÃ­ de LlÃ©mena se sitÃºa el vecindario del Pla de Sant Joan, un diseminado que precisamente pertenece al pueblo de LlorÃ .<br />Sant MartÃ­ de LlÃ©mena y LlorÃ  son poblaciones que tienen sus principales zonas de crecimiento urbanÃ­stico e industrial en los alrededores de la carretera GI-531. En cambio, Granollers de Rocacorba, les Serres y el vecindario del Pla de Sant Joan son diseminados pequeÃ±os mÃ¡s integrados en el paisaje, alejados de la principal vÃ­a de la comunicaciÃ³n y con un claro predominio de las actividades agrÃ­colas y ganaderas.<br /><br />En las laderas occid",https://a0.muscache.com/pictures/d083e18b-c31b-4f0d-ad78-32b0932c8d40.jpg,https://www.airbnb.com/users/show/120856433,Anna,15/03/2017,"Girona, Spain","Somos dos hermanas enamoradas de la naturaleza, con ganas de que los viajeros puedan disfrutar de esta maravillosa casa de madera en el bosque",within a few hours,f,https://a0.muscache.com/im/pictures/user/4a8da9cf-1a4c-43c1-a11e-a6c93cae0e8d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4a8da9cf-1a4c-43c1-a11e-a6c93cae0e8d.jpg?aki_policy=profile_x_medium,sin informacion,"['email', 'phone']",t,t,"Sant MartÃ­ de LlÃ©mena, Catalunya, Spain",Sant MartÃ­ de LlÃ©mena,Hut,Entire home/apt,1.0,"[""Air conditioning"", ""Free parking on premises"", ""Refrigerator"", ""Baking sheet"", ""Microwave"", ""Private entrance"", ""Pets allowed"", ""Hangers"", ""Stove"", ""Dishes and silverware"", ""Bed linens"", ""Heating"", ""Cooking basics"", ""Backyard"", ""TV"", ""Private patio or balcony"", ""Indoor fireplace: wood-burning"", ""Washer"", ""Hot water"", ""Oven"", ""Crib"", ""Kitchen"", ""Iron"", ""Extra pillows and blankets"", ""Barbecue utensils"", ""BBQ grill"", ""Coffee maker"", ""Essentials"", ""Wifi"", ""Fire extinguisher""]",12977.0,t,31/03/2023,05/04/2017,12/03/2023,HUTG-025778,f,17726281.0,20230300000000.0,120856433,100.0,94.0,1.0,1.0,42.05615,2.64295,6.0,3.0,4.0,2.0,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,9,30,51,289,6.0,2.2,0.0,4.84,4.92,4.76,4.91,4.88,4.74,4.78,1.0,1.0,0.0,0.0,0.3
3931,https://www.airbnb.com/rooms/18928661,01/04/2023,city scrape,Esta Libro,"Wonderful and comfortable villa  with private (heated) pool in Calonge, Catalunya, Spain for 6 persons.  The villa is situated  in a  hilly area and  at 3 km from Sant Antoni de Calonge beach.  The villa has 3 bedrooms, 2 bathrooms and 1 guest toilet, spread over 2 levels.  The vicinity of the beach, places to shop, sports activities and places to go out makes this a fine villa to celebrate your holidays with family or friends and even your pets. Interior of the villa<br /><br /><b>The space</b><br /><p>Wonderful and comfortable villa  with private (heated) pool in Calonge, Catalunya, Spain for 6 persons.  The villa is situated  in a  hilly area and  at 3 km from Sant Antoni de Calonge beach.  <br /><br />The villa has 3 bedrooms, 2 bathrooms and 1 guest toilet, spread over 2 levels.  The vicinity of the beach, places to shop, sports activities and places to go out makes this a fine villa to celebrate your holidays with family or friends and even your pets. </p><p><b>Interior of the vi","Urb Viz. De Cabanyas, Calonge, Catalonia",https://a0.muscache.com/pictures/9c3cfc9d-3c63-43c1-ba28-8b0050f08c42.jpg,https://www.airbnb.com/users/show/129837136,Quality Estates,11/05/2017,Spain,sin informacion,within a few hours,f,https://a0.muscache.com/im/pictures/user/4d818115-5375-49c4-83e9-b1f1db7ec064.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4d818115-5375-49c4-83e9-b1f1db7ec064.jpg?aki_policy=profile_x_medium,sin informacion,"['email', 'phone']",t,t,"Calonge, Catalunya, Spain",Calonge,Entire villa,Entire home/apt,2.0,"[""Sound system"", ""Refrigerator"", ""Valley view"", ""Microwave"", ""Safe"", ""Bidet"", ""Private entrance"", ""Mountain view"", ""Pets allowed"", ""Dishes and silverware"", ""Bed linens"", ""Toaster"", ""Cooking basics"", ""Backyard"", ""Outdoor furniture"", ""Bathtub"", ""Free dryer – In unit"", ""Private outdoor pool - heated"", ""Free washer – In unit"", ""Oven"", ""Crib"", ""Kitchen"", ""Freezer"", ""Dishwasher"", ""Dining table"", ""BBQ grill"", ""Coffee maker"", ""Patio or balcony"", ""Essentials"", ""Wifi"", ""TV with premium cable""]",20000.0,t,01/04/2023,sin informacion,sin informacion,HUTG-008573,t,18928661.0,20230300000000.0,129837136,97.8,76.0,28.0,73.0,41.84915,3.05936,6.0,3.0,4.0,1.0,730,1.0,1.0,730.0,730.0,1.0,730.0,0,0,0,90,0.0,0.0,0.0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,27.0,27.0,0.0,0.0,0.26
3948,https://www.airbnb.com/rooms/18928673,01/04/2023,city scrape,Villa Shangrila,"Beautiful and comfortable villa in Calonge, Catalunya, Spain  with private (heated) pool for 9 persons.  The villa is situated  in a  residential and mountainous area.  The villa has 4 bedrooms and 4 bathrooms, spread over 2 levels.  The vicinity of the beach, places to shop, sports activities and places to go out makes this a fine villa to celebrate your holidays with family or friends. Interior of the villa<br /><br /><b>The space</b><br /><p>Beautiful and comfortable villa in Calonge, Catalunya, Spain  with private (heated) pool for 9 persons.  The villa is situated  in a  residential and mountainous area.  <br /><br />The villa has 4 bedrooms and 4 bathrooms, spread over 2 levels.  The vicinity of the beach, places to shop, sports activities and places to go out makes this a fine villa to celebrate your holidays with family or friends. </p><p><b>Interior of the villa</b></p><ul><li>2 level villa</li><li>living/dining room with television, DVD player and hifi</li><li>covered balcony","Urb Viz. De Cabanyas, Calonge, Catalonia",https://a0.muscache.com/pictures/prohost-api/Hosting-18928673/original/6200e8ba-e21f-48d1-95af-aedc42e9b6ec.jpeg,https://www.airbnb.com/users/show/129837136,Quality Estates,11/05/2017,Spain,sin informacion,within a few hours,f,https://a0.muscache.com/im/pictures/user/4d818115-5375-49c4-83e9-b1f1db7ec064.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4d818115-5375-49c4-83e9-b1f1db7ec064.jpg?aki_policy=profile_x_medium,sin informacion,"['email', 'phone']",t,t,"Calonge, Catalunya, Spain",Calonge,Entire villa,Entire home/apt,3.5,"[""Sound system"", ""Refrigerator"", ""Microwave"", ""Bidet"", ""Private entrance"", ""Mountain view"", ""Dishes and silverware"", ""Sea view"", ""Bed linens"", ""Toaster"", ""Cooking basics"", ""Backyard"", ""Outdoor furniture"", ""Private outdoor pool - heated"", ""Free washer – In unit"", ""Oven"", ""Crib"", ""Kitchen"", ""Iron"", ""Freezer"", ""Dishwasher"", ""Dining table"", ""BBQ grill"", ""Coffee maker"", ""Patio or balcony"", ""Essentials"", ""Wifi"", ""TV with premium cable""]",20000.0,t,01/04/2023,sin informacion,sin informacion,HUTG-008208,t,18928673.0,20230300000000.0,129837136,97.8,76.0,28.0,73.0,41.85659,3.04899,9.0,4.0,6.0,7.0,730,7.0,7.0,730.0,730.0,7.0,730.0,0,0,0,90,0.0,0.0,0.0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,27.0,27.0,0.0,0.0,0.26
6632,https://www.airbnb.com/rooms/26118654,01/04/2023,city scrape,Fantastic large holiday home with pool for 8 people in Rosas,"This provincial villa in Roses is ideal for a family. It can accommodate 8 guests and has 4 bedrooms. It has a private swimming pool for you to enjoy the best of your holidays.If you plan to enjoy a day in the nature, the forest is only 100 m from the home. The closest restaurant is 400 m for you to try some local delicacies. If you run out of essentials, the supermarkets are only 400 m. The home is 5 km from the sea if you wish to spend a day by the bay.A private terrace or garden with garden furniture are in place for you to enjoy some outdoor times. You can cook an amazing meal in the well-equipped kitchen for you loved ones. This villa has fireplace, dishwasher, air conditioning and coffee machine for your convenience. The nearest airport in Girona - Costa Brava is 50 km. The guest can check in between 4-7 PM and checkout between 8-10 AM.<br /><br />About Belvilla<br /><br />When you stay in a Belvilla home, you can rest assured of a unique holiday home in ideal surroundings at an ",sin informacion,https://a0.muscache.com/pictures/ac41802c-88a4-4c67-ab78-913eb2b3f5ae.jpg,https://www.airbnb.com/users/show/122175936,Laura - BELVILLA,23/03/2017,"ZÃ¼rich, Switzerland","Hi, Iâm Laura. Iâm part of the Belvilla Customer service team. My colleagues and I are looking forward to assist you when booking our properties on Airbnb. You can count on our support before, during and after your holiday. Any questions? Just let us know!

Belvilla is a leading European specialist in the rental of unique, self-catering holiday homes and apartments. We bring more than 35 years of experience in satisfying our guests (you!) and helping them find the perfect holiday. When you stay in a Belvilla home, you can be sure you will enjoy a unique holiday home in ideal surroundings. Weâre looking forward to welcoming you in a Belvilla and love to hear from you!",within an hour,f,https://a0.muscache.com/im/pictures/user/fc8aad91-ff16-47ac-b29d-620ccfffcc86.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fc8aad91-ff16-47ac-b29d-620ccfffcc86.jpg?aki_policy=profile_x_medium,sin informacion,"['email', 'phone']",t,t,sin informacion,Roses,Entire villa,Entire home/apt,3.0,"[""Dedicated workspace"", ""Kitchen"", ""Air conditioning"", ""Oven"", ""Dishwasher"", ""Washer"", ""Pool"", ""Bathtub"", ""Hangers"", ""Coffee maker"", ""Heating"", ""Refrigerator"", ""Essentials"", ""TV with standard cable"", ""Indoor fireplace"", ""Wifi"", ""Private entrance""]",16380.0,t,01/04/2023,sin informacion,sin informacion,HUTG-013538,t,26118654.0,20230300000000.0,122175936,100.0,100.0,27.9,34.7,42.28924,3.17472,8.0,4.0,6.0,1.0,28,1.0,1.0,28.0,28.0,1.0,28.0,30,60,90,365,0.0,0.0,0.0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,36.0,36.0,0.0,0.0,0.26
6650,https://www.airbnb.com/rooms/26146284,01/04/2023,city scrape,Modern Villa in Roses with Private Pool,"This luxurious 5-bedroom villa is in Roses, Catalonia. It is ideal for families or small groups and can accommodate 10 people. This villa has a private swimming pool for you to have a relaxing holiday.Located closely to the forest in 100 m, this property is perfect for nature lovers. The villa is only 400 m from the supermarket and restaurants nearby. The sea is 5 km away if you wish to spend a day at the beach. A roofed terrace or private garden with garden furniture is in the ground floor where you can enjoy an evening with your dear ones. Fireplace and air conditioning are in place to make your stay, a comfortable one. Washing machine and garage are available for your convenience.The nearest airport in Girona - Costa Brava is 50 km from the stay.The check in timings are 4-7 PM and check out can be done between 8-10 AM.<br /><br />About Belvilla<br /><br />When you stay in a Belvilla home, you can rest assured of a unique holiday home in ideal surroundings at an attractive price. The",sin informacion,https://a0.muscache.com/pictures/prohost-api/Hosting-26146284/original/74c1579f-3e35-4d67-ae86-95d08737aec1.jpeg,https://www.airbnb.com/users/show/122175936,Laura - BELVILLA,23/03/2017,"ZÃ¼rich, Switzerland","Hi, Iâm Laura. Iâm part of the Belvilla Customer service team. My colleagues and I are looking forward to assist you when booking our properties on Airbnb. You can count on our support before, during and after your holiday. Any questions? Just let us know!

Belvilla is a leading European specialist in the rental of unique, self-catering holiday homes and apartments. We bring more than 35 years of experience in satisfying our guests (you!) and helping them find the perfect holiday. When you stay in a Belvilla home, you can be sure you will enjoy a unique holiday home in ideal surroundings. Weâre looking forward to welcoming you in a Belvilla and love to hear from you!",within an hour,f,https://a0.muscache.com/im/pictures/user/fc8aad91-ff16-47ac-b29d-620ccfffcc86.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fc8aad91-ff16-47ac-b29d-620ccfffcc86.jpg?aki_policy=profile_x_medium,sin informacion,"['email', 'phone']",t,t,sin informacion,Roses,Entire villa,Entire home/apt,4.0,"[""Dedicated workspace"", ""Kitchen"", ""Air conditioning"", ""Oven"", ""Dishwasher"", ""Washer"", ""Pool"", ""Bathtub"", ""Hangers"", ""Coffee maker"", ""Heating"", ""Refrigerator"", ""Essentials"", ""TV with standard cable"", ""Indoor fireplace"", ""Wifi"", ""Private entrance""]",16380.0,t,01/04/2023,sin informacion,sin informacion,HUTG-013538,t,26146284.0,20230300000000.0,122175936,100.0,100.0,27.9,34.7,42.29,3.17656,5.0,2.2,7.0,1.0,28,1.0,1.0,28.0,28.0,1.0,28.0,30,60,90,365,0.0,0.0,0.0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,36.0,36.0,0.0,0.0,0.26
7147,https://www.airbnb.com/rooms/28483889,01/04/2023,city scrape,Modern Apartment in Roses with Swimming Pool,"This spacious apartment is situated in Roses. Ideal for a family, there are 2 bedrooms and can accommodate 4 guests. This apartment has fenced swimming pool for you to enjoy the maximum.If you wish to explore the nature, the apartment is only 100 m from the forest. The town centre in Roses 5 km away. Stock up your essentials from the supermarket, 400 m. The restaurants are 400 m from the home if you wish to dine out with your loved ones. For a day around the beach, the sea is only 5 km away. A private terrace or fenced garden with garden furniture are accessible if you wish to have an outdoor afternoon tea. Barbecue can be used to experiment their culinary skills. Fireplace and air conditioning are installed for your comfortable stay.The nearest airport in Girona - Costa Brava is just 50 km away.Check in begins from 4-7 PM and check out is from 8-10 AM.<br /><br />Because of Corona, both apartments will not be rented at the same time. When you rent this apartment you are the only one w",sin informacion,https://a0.muscache.com/pictures/prohost-api/Hosting-28483889/original/5ba63f93-1b63-48b5-9127-7c81083b0f93.jpeg,https://www.airbnb.com/users/show/122175936,Laura - BELVILLA,23/03/2017,"ZÃ¼rich, Switzerland","Hi, Iâm Laura. Iâm part of the Belvilla Customer service team. My colleagues and I are looking forward to assist you when booking our properties on Airbnb. You can count on our support before, during and after your holiday. Any questions? Just let us know!

Belvilla is a leading European specialist in the rental of unique, self-catering holiday homes and apartments. We bring more than 35 years of experience in satisfying our guests (you!) and helping them find the perfect holiday. When you stay in a Belvilla home, you can be sure you will enjoy a unique holiday home in ideal surroundings. Weâre looking forward to welcoming you in a Belvilla and love to hear from you!",within an hour,f,https://a0.muscache.com/im/pictures/user/fc8aad91-ff16-47ac-b29d-620ccfffcc86.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fc8aad91-ff16-47ac-b29d-620ccfffcc86.jpg?aki_policy=profile_x_medium,sin informacion,"['email', 'phone']",t,t,sin informacion,Roses,Entire rental unit,Entire home/apt,1.0,"[""Dedicated workspace"", ""Kitchen"", ""Air conditioning"", ""Oven"", ""Dishwasher"", ""Washer"", ""BBQ grill"", ""Pool"", ""Hangers"", ""Coffee maker"", ""Heating"", ""Refrigerator"", ""Essentials"", ""TV with standard cable"", ""Indoor fireplace"", ""Wifi"", ""Private entrance""]",16380.0,t,01/04/2023,sin informacion,sin informacion,HUTG-013538,t,28483889.0,20230300000000.0,122175936,100.0,100.0,27.9,34.7,42.28965,3.17508,4.0,2.0,3.0,1.0,28,1.0,1.0,28.0,28.0,1.0,28.0,30,60,90,365,0.0,0.0,0.0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,36.0,36.0,0.0,0.0,0.26
7541,https://www.airbnb.com/rooms/31969327,01/04/2023,city scrape,La Portenya,"Villa in Calonge, Catalonia, Spain with private pool for 8 persons. The villa is situated in a coastal and urban area, close to restaurants and bars, supermarkets and at 3 km from Torre Valentina beach. The villa has 4 bedrooms, 3 bathrooms and 1 guest toilet, spread over 2 levels. The vicinity of the beach, places to shop, sports activities, entertainment facilities and places to go out makes this a fine villa to celebrate your holidays with family or friends.Interior of the villa<br /><br /><b>The space</b><br /><p>Villa in Calonge, Catalonia, Spain with private pool for 8 persons. The villa is situated in a coastal and urban area, close to restaurants and bars, supermarkets and at 3 km from Torre Valentina beach. <br /><br />The villa has 4 bedrooms, 3 bathrooms and 1 guest toilet, spread over 2 levels. The vicinity of the beach, places to shop, sports activities, entertainment facilities and places to go out makes this a fine villa to celebrate your holidays with family or friends.","Calonge, Calonge, Catalonia",https://a0.muscache.com/pictures/5a798700-2879-4ada-ada8-c14e52c9c6e7.jpg,https://www.airbnb.com/users/show/129837136,Quality Estates,11/05/2017,Spain,sin informacion,within a few hours,f,https://a0.muscache.com/im/pictures/user/4d818115-5375-49c4-83e9-b1f1db7ec064.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4d818115-5375-49c4-83e9-b1f1db7ec064.jpg?aki_policy=profile_x_medium,sin informacion,"['email', 'phone']",t,t,"Calonge, Catalunya, Spain",Calonge,Entire villa,Entire home/apt,3.0,"[""Harbor view"", ""Refrigerator"", ""Valley view"", ""Microwave"", ""Private entrance"", ""Private outdoor pool"", ""Pets allowed"", ""Dishes and silverware"", ""Sea view"", ""Bay view"", ""Bed linens"", ""Cooking basics"", ""Backyard"", ""TV"", ""Bathtub"", ""Free washer – In unit"", ""Oven"", ""Crib"", ""Kitchen"", ""Freezer"", ""Dishwasher"", ""Dining table"", ""Coffee maker"", ""Essentials"", ""Free parking on premises – 1 space"", ""Wifi""]",20000.0,t,01/04/2023,sin informacion,sin informacion,HUTG-029082,t,31969327.0,20230300000000.0,129837136,97.8,76.0,28.0,73.0,41.86232,3.07854,8.0,4.0,4.0,7.0,730,7.0,7.0,730.0,730.0,7.0,730.0,0,0,0,90,0.0,0.0,0.0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,27.0,27.0,0.0,0.0,0.26
9977,https://www.airbnb.com/rooms/41784831,31/03/2023,city scrape,Delux Villa in Vilacolum with Swimming Pool,"Located in Vilacolum, this lavish 3-bedroom villa can host 6 people comfortably. The swimming pool is perfect to take refreshing dips with your family and friends. <br /><br /><br /><br />Chill out at the beach 7 km away and enjoy all the fun-filled activities going around. You can stock your pantry from supermarket at 2 km and try local delicacies from restaurants at 4 km. You can also experience the local culture from the town centre of Figueres,11 km away. <br /><br /><br /><br />The heating and air-conditioning will keep you comfortable during any climate. Prepare delicious grilled barbecues on the terrace and relish it with your favourite beverage while relaxing on the garden furniture. Garden is fenced where your kids can play safely. Washer and Dryer in the laundry room shall help with the laundry services. <br /><br /><br /><br />The nearest airport is 45 km away. <br /><br /><br /><br />Check-in between 4 â 7 PM and check-out between 8 â 10 AM.<br /><br />Layout: Ground floor:",sin informacion,https://a0.muscache.com/pictures/c2796ce1-d475-40f7-a18d-f2ca92c782e5.jpg,https://www.airbnb.com/users/show/270230553,Linda - BELVILLA,21/06/2019,"ZÃ¼rich, Switzerland","Hi, Iâm Linda. Iâm part of the Belvilla Customer service team. My colleagues and I are looking forward to assist you when booking our properties on Airbnb. You can count on our support before, during and after your holiday. Any questions? Just let us know!

Belvilla is a leading European specialist in the rental of unique, self-catering holiday homes and apartments. We bring more than 35 years of experience in satisfying our guests (you!) and helping them find the perfect holiday. When you stay in a Belvilla home, you can be sure you will enjoy a unique holiday home in ideal surroundings. Weâre looking forward to welcoming you in a Belvilla and love to hear from you!
",within an hour,f,https://a0.muscache.com/im/pictures/user/9539f377-1097-4f0a-8890-b7ab47df98da.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9539f377-1097-4f0a-8890-b7ab47df98da.jpg?aki_policy=profile_x_medium,UrbanizaciÃ³n Cometa III,"['email', 'phone']",t,t,sin informacion,Torroella de FluviÃ ,Entire villa,Entire home/apt,3.0,"[""Air conditioning"", ""Refrigerator"", ""Microwave"", ""Private entrance"", ""Free street parking"", ""Hangers"", ""Heating"", ""Smoke alarm"", ""Washer"", ""Bathtub"", ""Oven"", ""Dedicated workspace"", ""Kitchen"", ""Pool"", ""Dishwasher"", ""Dryer"", ""BBQ grill"", ""Coffee maker"", ""Essentials"", ""TV with standard cable"", ""Wifi""]",15960.0,t,31/03/2023,28/06/2020,05/09/2021,HUTG/028780,t,41784831.0,20230300000000.0,270230553,100.0,98.0,27.9,34.7,42.1936,3.02802,8.0,4.0,8.0,1.0,28,1.0,1.0,28.0,28.0,1.0,28.0,30,60,90,365,3.0,0.0,0.0,4.7,4.8,4.7,4.8,4.8,4.67,4.0,56.0,56.0,0.0,0.0,0.09
